0,1,2,3,4,5,6
PHL,IT,Male,55+,Owner,"10,001+ employees",0
PHL,IT,Male,55+,Owner,"5001-10,000 employees",0
PHL,IT,Male,55+,Owner,1001-5000 employees,0
PHL,IT,Male,55+,Owner,501-1000 employees,0
PHL,IT,Male,55+,Owner,201-500 employees,0
PHL,IT,Male,55+,Owner,51-200 employees,0
PHL,IT,Male,55+,Owner,11-50 employees,0
PHL,IT,Male,55+,Owner,2-10 employees,0
PHL,IT,Male,55+,Owner,Myself Only,0
PHL,IT,Male,55+,Partner,"10,001+ employees",0
PHL,IT,Male,55+,Partner,"5001-10,000 employees",0
PHL,IT,Male,55+,Partner,1001-5000 employees,0
PHL,IT,Male,55+,Partner,501-1000 employees,0
PHL,IT,Male,55+,Partner,201-500 employees,0
PHL,IT,Male,55+,Partner,51-200 employees,0
PHL,IT,Male,55+,Partner,11-50 employees,0
PHL,IT,Male,55+,Partner,2-10 employees,0
PHL,IT,Male,55+,Partner,Myself Only,0
PHL,IT,Male,55+,CXO,"10,001+ employees",0
PHL,IT,Male,55+,CXO,"5001-10,000 employees",0
PHL,IT,Male,55+,CXO,1001-5000 employees,0
PHL,IT,Male,55+,CXO,501-1000 employees,0
PHL,IT,Male,55+,CXO,201-500 employees,0
PHL,IT,Male,55+,CXO,51-200 employees,0
PHL,IT,Male,55+,CXO,11-50 employees,0
PHL,IT,Male,55+,CXO,2-10 employees,0
PHL,IT,Male,55+,CXO,Myself Only,0
PHL,IT,Male,55+,VP,"10,001+ employees",0
PHL,IT,Male,55+,VP,"5001-10,000 employees",0
PHL,IT,Male,55+,VP,1001-5000 employees,0
PHL,IT,Male,55+,VP,501-1000 employees,0
PHL,IT,Male,55+,VP,201-500 employees,0
PHL,IT,Male,55+,VP,51-200 employees,0
PHL,IT,Male,55+,VP,11-50 employees,0
PHL,IT,Male,55+,VP,2-10 employees,0
PHL,IT,Male,55+,VP,Myself Only,0
PHL,IT,Male,55+,Director,"10,001+ employees",0
PHL,IT,Male,55+,Director,"5001-10,000 employees",0
PHL,IT,Male,55+,Director,1001-5000 employees,0
PHL,IT,Male,55+,Director,501-1000 employees,0
PHL,IT,Male,55+,Director,201-500 employees,0
PHL,IT,Male,55+,Director,51-200 employees,0
PHL,IT,Male,55+,Director,11-50 employees,0
PHL,IT,Male,55+,Director,2-10 employees,0
PHL,IT,Male,55+,Director,Myself Only,0
PHL,IT,Male,55+,Manager,"10,001+ employees",0
PHL,IT,Male,55+,Manager,"5001-10,000 employees",0
PHL,IT,Male,55+,Manager,1001-5000 employees,0
PHL,IT,Male,55+,Manager,501-1000 employees,0
PHL,IT,Male,55+,Manager,201-500 employees,0
PHL,IT,Male,55+,Manager,51-200 employees,0
PHL,IT,Male,55+,Manager,11-50 employees,0
PHL,IT,Male,55+,Manager,2-10 employees,0
PHL,IT,Male,55+,Manager,Myself Only,0
PHL,IT,Male,55+,Senior,"10,001+ employees",370
PHL,IT,Male,55+,Senior,"5001-10,000 employees",0
PHL,IT,Male,55+,Senior,1001-5000 employees,0
PHL,IT,Male,55+,Senior,501-1000 employees,0
PHL,IT,Male,55+,Senior,201-500 employees,0
PHL,IT,Male,55+,Senior,51-200 employees,0
PHL,IT,Male,55+,Senior,11-50 employees,0
PHL,IT,Male,55+,Senior,2-10 employees,0
PHL,IT,Male,55+,Senior,Myself Only,0
PHL,IT,Male,55+,Entry,"10,001+ employees",0
PHL,IT,Male,55+,Entry,"5001-10,000 employees",0
PHL,IT,Male,55+,Entry,1001-5000 employees,0
PHL,IT,Male,55+,Entry,501-1000 employees,0
PHL,IT,Male,55+,Entry,201-500 employees,0
PHL,IT,Male,55+,Entry,51-200 employees,0
PHL,IT,Male,55+,Entry,11-50 employees,0
PHL,IT,Male,55+,Entry,2-10 employees,0
PHL,IT,Male,55+,Entry,Myself Only,0
PHL,IT,Male,55+,Training,"10,001+ employees",0
PHL,IT,Male,55+,Training,"5001-10,000 employees",0
PHL,IT,Male,55+,Training,1001-5000 employees,0
PHL,IT,Male,55+,Training,501-1000 employees,0
PHL,IT,Male,55+,Training,201-500 employees,0
PHL,IT,Male,55+,Training,51-200 employees,0
PHL,IT,Male,55+,Training,11-50 employees,0
PHL,IT,Male,55+,Training,2-10 employees,0
PHL,IT,Male,55+,Training,Myself Only,0
PHL,IT,Male,55+,Unpaid,"10,001+ employees",0
PHL,IT,Male,55+,Unpaid,"5001-10,000 employees",0
PHL,IT,Male,55+,Unpaid,1001-5000 employees,0
PHL,IT,Male,55+,Unpaid,501-1000 employees,0
PHL,IT,Male,55+,Unpaid,201-500 employees,0
PHL,IT,Male,55+,Unpaid,51-200 employees,0
PHL,IT,Male,55+,Unpaid,11-50 employees,0
PHL,IT,Male,55+,Unpaid,2-10 employees,0
PHL,IT,Male,55+,Unpaid,Myself Only,0
PHL,IT,Male,35 to 54,Owner,"10,001+ employees",0
PHL,IT,Male,35 to 54,Owner,"5001-10,000 employees",0
PHL,IT,Male,35 to 54,Owner,1001-5000 employees,0
PHL,IT,Male,35 to 54,Owner,501-1000 employees,0
PHL,IT,Male,35 to 54,Owner,201-500 employees,0
PHL,IT,Male,35 to 54,Owner,51-200 employees,340
PHL,IT,Male,35 to 54,Owner,11-50 employees,650
PHL,IT,Male,35 to 54,Owner,2-10 employees,700
PHL,IT,Male,35 to 54,Owner,Myself Only,0
PHL,IT,Male,35 to 54,Partner,"10,001+ employees",0
PHL,IT,Male,35 to 54,Partner,"5001-10,000 employees",0
PHL,IT,Male,35 to 54,Partner,1001-5000 employees,0
PHL,IT,Male,35 to 54,Partner,501-1000 employees,0
PHL,IT,Male,35 to 54,Partner,201-500 employees,0
PHL,IT,Male,35 to 54,Partner,51-200 employees,0
PHL,IT,Male,35 to 54,Partner,11-50 employees,0
PHL,IT,Male,35 to 54,Partner,2-10 employees,0
PHL,IT,Male,35 to 54,Partner,Myself Only,0
PHL,IT,Male,35 to 54,CXO,"10,001+ employees",0
PHL,IT,Male,35 to 54,CXO,"5001-10,000 employees",0
PHL,IT,Male,35 to 54,CXO,1001-5000 employees,0
PHL,IT,Male,35 to 54,CXO,501-1000 employees,0
PHL,IT,Male,35 to 54,CXO,201-500 employees,0
PHL,IT,Male,35 to 54,CXO,51-200 employees,340
PHL,IT,Male,35 to 54,CXO,11-50 employees,610
PHL,IT,Male,35 to 54,CXO,2-10 employees,480
PHL,IT,Male,35 to 54,CXO,Myself Only,0
PHL,IT,Male,35 to 54,VP,"10,001+ employees",330
PHL,IT,Male,35 to 54,VP,"5001-10,000 employees",0
PHL,IT,Male,35 to 54,VP,1001-5000 employees,0
PHL,IT,Male,35 to 54,VP,501-1000 employees,0
PHL,IT,Male,35 to 54,VP,201-500 employees,0
PHL,IT,Male,35 to 54,VP,51-200 employees,0
PHL,IT,Male,35 to 54,VP,11-50 employees,360
PHL,IT,Male,35 to 54,VP,2-10 employees,0
PHL,IT,Male,35 to 54,VP,Myself Only,0
PHL,IT,Male,35 to 54,Director,"10,001+ employees",1000
PHL,IT,Male,35 to 54,Director,"5001-10,000 employees",590
PHL,IT,Male,35 to 54,Director,1001-5000 employees,370
PHL,IT,Male,35 to 54,Director,501-1000 employees,0
PHL,IT,Male,35 to 54,Director,201-500 employees,310
PHL,IT,Male,35 to 54,Director,51-200 employees,520
PHL,IT,Male,35 to 54,Director,11-50 employees,610
PHL,IT,Male,35 to 54,Director,2-10 employees,370
PHL,IT,Male,35 to 54,Director,Myself Only,0
PHL,IT,Male,35 to 54,Manager,"10,001+ employees",3600
PHL,IT,Male,35 to 54,Manager,"5001-10,000 employees",980
PHL,IT,Male,35 to 54,Manager,1001-5000 employees,800
PHL,IT,Male,35 to 54,Manager,501-1000 employees,500
PHL,IT,Male,35 to 54,Manager,201-500 employees,530
PHL,IT,Male,35 to 54,Manager,51-200 employees,800
PHL,IT,Male,35 to 54,Manager,11-50 employees,770
PHL,IT,Male,35 to 54,Manager,2-10 employees,380
PHL,IT,Male,35 to 54,Manager,Myself Only,0
